batch_id,sample_time_min,analyte,value,unit,method,qa_flag,result_time_min,turnaround_min,detection_limit,lab_id,replicate_id,sample_source,proxy_holdout_label
B000,36,COD,59.1,mg/L,synthetic_reference,pass,,,,SIM-LAB,,,False
B000,36,target_pollutant_proxy,0.46,risk_index,synthetic_reference,pass,,,,SIM-LAB,,,True
B000,36,UV254_reference,0.6893,abs,synthetic_reference,pass,,,,SIM-LAB,,,True
B001,36,COD,66.75,mg/L,synthetic_reference,pass,,,,SIM-LAB,,,False
B001,36,target_pollutant_proxy,0.55,risk_index,synthetic_reference,pass,,,,SIM-LAB,,,True
B001,36,UV254_reference,0.9022,abs,synthetic_reference,pass,,,,SIM-LAB,,,True
B002,36,COD,59.1,mg/L,synthetic_reference,pass,,,,SIM-LAB,,,False
B002,36,target_pollutant_proxy,0.46,risk_index,synthetic_reference,pass,,,,SIM-LAB,,,True
B002,36,UV254_reference,0.7213,abs,synthetic_reference,pass,,,,SIM-LAB,,,True
B003,36,COD,66.75,mg/L,synthetic_reference,pass,,,,SIM-LAB,,,False
B003,36,target_pollutant_proxy,0.55,risk_index,synthetic_reference,pass,,,,SIM-LAB,,,True
B003,36,UV254_reference,0.8959,abs,synthetic_reference,pass,,,,SIM-LAB,,,True
B004,36,COD,69.3,mg/L,synthetic_reference,pass,,,,SIM-LAB,,,False
B004,36,target_pollutant_proxy,0.58,risk_index,synthetic_reference,pass,,,,SIM-LAB,,,True
B004,36,UV254_reference,0.8698,abs,synthetic_reference,pass,,,,SIM-LAB,,,True
B005,36,COD,69.3,mg/L,synthetic_reference,pass,,,,SIM-LAB,,,False
B005,36,target_pollutant_proxy,0.58,risk_index,synthetic_reference,pass,,,,SIM-LAB,,,True
B005,36,UV254_reference,0.8601,abs,synthetic_reference,pass,,,,SIM-LAB,,,True
B006,36,COD,33.277,mg/L,synthetic_reference,pass,,,,SIM-LAB,,,False
B006,36,target_pollutant_proxy,0.1562,risk_index,synthetic_reference,pass,,,,SIM-LAB,,,True
B006,36,UV254_reference,0.4734,abs,synthetic_reference,pass,,,,SIM-LAB,,,True
B007,36,COD,64.2,mg/L,synthetic_reference,pass,,,,SIM-LAB,,,False
B007,36,target_pollutant_proxy,0.52,risk_index,synthetic_reference,pass,,,,SIM-LAB,,,True
B007,36,UV254_reference,1.0086,abs,synthetic_reference,pass,,,,SIM-LAB,,,True
