batch_id,timestamp_min,cycle_id,pH,ORP_mV,EC_uScm,turbidity_NTU,temp_C,flow_Lmin,UV254_abs,sensor_status,operator_note,instrument_id,acquisition_time_min,ingest_time_min,pressure_drop_kPa,headloss_kPa_per_m,bed_inlet_pressure_kPa,bed_outlet_pressure_kPa,flow_normalized_pressure_residual
B000,0,0,7.274,356.99,1333.67,30.76,24.79,1.184,1.1595,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,1,0,7.226,367.41,1345.41,32.676,24.885,1.221,1.1142,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,2,0,7.262,381.67,1344.84,30.317,24.888,1.229,1.0488,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,3,0,7.236,382.66,1390.97,27.193,24.831,1.228,1.0535,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,4,0,7.304,382.93,1370.95,27.848,24.935,1.212,1.0575,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,5,0,7.391,399.37,1351.5,25.782,24.986,1.243,1.0074,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,6,0,7.254,395.06,1341.41,25.134,24.995,1.224,0.9815,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,7,0,7.396,402.22,1365.65,25.509,24.95,1.221,0.9697,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,8,0,7.388,401.02,1365.32,23.688,25.141,1.222,0.9322,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,9,0,7.307,413.97,1375.93,22.961,25.048,1.237,0.8739,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,10,0,7.399,441.24,1379.33,22.159,25.202,1.256,0.8998,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,11,0,7.4,427.49,1367.54,21.766,25.026,1.247,0.8769,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,12,1,7.386,445.23,1360.54,20.824,25.18,1.26,0.8752,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,13,1,7.351,444.89,1367.52,19.813,25.113,1.219,0.8201,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,14,1,7.392,464.98,1398.26,19.426,25.239,1.247,0.8218,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,15,1,7.362,455.4,1389.27,20.694,25.329,1.215,0.8084,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,16,1,7.309,464.1,1386.69,18.428,25.227,1.217,0.7813,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,17,1,7.347,451.87,1420.83,15.813,25.18,1.206,0.7632,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,18,1,7.309,467.09,1387.34,17.033,25.331,1.219,0.7136,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,19,1,7.377,486.65,1368.46,16.469,25.381,1.21,0.7253,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,20,1,7.253,471.78,1389.47,14.709,25.328,1.208,0.6596,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,21,1,7.286,493.29,1413.64,16.442,25.446,1.166,0.7162,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,22,1,7.295,501.47,1396.54,14.843,25.433,1.158,0.6747,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,23,1,7.263,486.63,1369.55,15.123,25.62,1.157,0.641,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,24,2,8.231,487.26,4978.91,36.615,25.487,1.158,0.8355,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
B000,25,2,8.316,493.58,4954.51,34.645,25.605,1.15,0.7876,synthetic_template,,LC-SIM-01,,,3.093,3.866,,,0.005
