batch_id,timestamp_min,EC_uScm,turbidity_NTU,UV254_abs,pH,ORP_mV,flow_Lmin,pressure_drop_kPa,headloss_kPa_per_m,bed_inlet_pressure_kPa,bed_outlet_pressure_kPa
TS001,0,2990.0,39.0,0.85,7.75,512.0,1.1,6.6,8.25,105.3,98.7
TS001,5,2992.5,38.6,0.85,7.75,512.0,1.1,6.675,8.34,105.3,98.7
TS001,10,2995.0,38.2,0.85,7.75,512.0,1.1,6.75,8.43,105.3,98.7
TS001,15,2997.5,37.8,0.85,7.75,512.0,1.1,6.825,8.52,105.3,98.7
TS001,20,3000.0,37.4,0.85,7.75,512.0,1.1,6.9,8.61,105.3,98.7
TS002,0,2990.0,39.0,0.85,7.75,512.0,1.1,6.6,8.25,105.3,98.7
TS002,5,2992.5,38.6,0.85,7.75,512.0,1.1,6.675,8.34,105.3,98.7
TS002,10,2995.0,38.2,0.85,7.75,512.0,1.1,6.75,8.43,105.3,98.7
TS002,15,2997.5,37.8,0.85,7.75,512.0,1.1,6.825,8.52,105.3,98.7
TS002,20,3000.0,37.4,0.85,7.75,512.0,1.1,6.9,8.61,105.3,98.7
TS003,0,2990.0,39.0,0.85,7.75,512.0,1.1,6.6,8.25,105.3,98.7
TS003,5,2992.5,38.6,0.85,7.75,512.0,1.1,6.675,8.34,105.3,98.7
TS003,10,2995.0,38.2,0.85,7.75,512.0,1.1,6.75,8.43,105.3,98.7
TS003,15,2997.5,37.8,0.85,7.75,512.0,1.1,6.825,8.52,105.3,98.7
TS003,20,3000.0,37.4,0.85,7.75,512.0,1.1,6.9,8.61,105.3,98.7
TS004,0,2990.0,39.0,0.85,7.75,512.0,1.1,6.6,8.25,105.3,98.7
TS004,5,2992.5,38.6,0.85,7.75,512.0,1.1,6.675,8.34,105.3,98.7
TS004,10,2995.0,38.2,0.85,7.75,512.0,1.1,6.75,8.43,105.3,98.7
TS004,15,2997.5,37.8,0.85,7.75,512.0,1.1,6.825,8.52,105.3,98.7
TS004,20,3000.0,37.4,0.85,7.75,512.0,1.1,6.9,8.61,105.3,98.7
TS005,0,2990.0,39.0,0.85,7.75,512.0,1.1,6.6,8.25,105.3,98.7
